学院,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10
通信与信息工程学院,否,是,是,是,是,是,是,是,否,是
通信与信息工程学院,否,是,是,是,是,是,是,是,否,是
光电工程学院,是,是,是,是,是,是,是,是,是,是
光电工程学院,是,是,是,是,是,是,是,是,否,否
光电工程学院,是,是,是,是,是,是,是,是,否,否
光电工程学院,是,是,是,是,是,是,是,是,否,是
经济管理学院,是,是,是,是,是,是,是,是,是,是
经济管理学院,是,是,是,是,是,是,是,是,是,是
软件工程学院,是,是,是,是,是,否,是,是,是,是
软件工程学院,是,是,是,是,是,是,是,是,是,是
软件工程学院,是,是,是,是,是,是,是,是,是,是
软件工程学院,是,是,是,是,是,是,是,是,否,是
经济管理学院,是,是,是,是,是,是,是,是,否,是
计算机科学与技术学院,否,是,是,是,是,否,是,是,是,是
计算机科学与技术学院,否,是,是,是,是,否,是,是,是,是
计算机科学与技术学院,是,是,是,是,是,是,是,是,是,是
计算机科学与技术学院,是,是,是,是,是,否,是,是,是,是
计算机科学与技术学院,是,是,否,是,是,否,是,是,否,是
外国语学院,是,是,是,是,是,否,是,是,是,是
外国语学院,是,是,是,是,是,是,是,是,是,是
外国语学院,是,是,是,是,是,是,是,是,是,是
外国语学院,是,是,是,是,是,否,是,是,是,是
外国语学院,是,是,是,是,是,是,是,是,是,是
外国语学院,是,是,是,是,是,是,是,是,是,是
生物信息学院,是,是,是,是,是,是,是,是,是,是
网络空间安全与信息法学院,否,是,是,是,是,是,是,是,否,是
网络空间安全与信息法学院,是,是,是,是,否,是,是,是,否,是
网络空间安全与信息法学院,否,否,是,是,否,是,是,是,是,是
自动化学院,是,是,是,是,是,否,是,是,是,是
自动化学院,是,是,是,是,是,是,是,是,是,是
自动化学院,是,是,是,是,是,否,是,是,是,是
体育学院,是,是,是,是,是,是,是,是,是,是
体育学院,是,是,是,是,是,是,是,是,是,是
体育学院,是,是,是,是,是,是,是,是,是,是
理学院,是,是,是,是,是,是,是,是,是,是
理学院,是,是,是,是,是,是,是,是,是,是
理学院,是,是,是,是,是,是,是,是,否,是
理学院,是,否,是,是,是,是,是,是,否,是
理学院,是,是,是,是,是,是,是,是,是,是
理学院,是,是,是,是,否,是,是,是,否,是
传媒艺术学院,是,是,是,是,否,是,是,是,否,是
传媒艺术学院,是,是,是,是,是,否,是,是,否,是
传媒艺术学院,是,是,否,是,是,是,是,是,否,否
先进制造工程学院,是,是,是,是,是,否,是,是,是,是
先进制造工程学院,是,是,是,是,是,是,是,是,是,是
传媒艺术学院,是,是,否,是,是,是,是,是,否,否
创新创业教育学院,否,否,否,否,是,否,否,否,否,否
创新创业教育学院,否,否,否,否,是,否,否,否,否,否
经济管理学院,是,是,是,是,是,否,否,否,是,是
经济管理学院,是,是,是,是,是,是,否,是,是,是
经济管理学院,是,是,是,是,是,是,否,是,是,是
经济管理学院,是,是,是,是,是,否,是,是,是,是
马克思主义学院,是,是,是,是,是,是,是,是,是,是
马克思主义学院,是,是,是,是,是,是,是,是,是,是
马克思主义学院,否,是,是,是,是,是,是,是,是,是
传媒艺术学院,否,是,是,是,是,否,是,是,否,是
传媒艺术学院,是,是,是,是,是,是,是,是,否,是
传媒艺术学院,否,是,否,是,否,否,否,否,否,否
国际学院,否,否,否,否,否,否,否,否,否,否
国际学院,否,否,否,否,否,否,否,否,否,否
