col1,col2,col3,col4
2016,40417,概率与数理统计,必修
2016,40417,概率与数理统计,必修
2016,40614,数学建模,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,"必修,选修"
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,选修
2016,A1110130,随机数学（含概率论、数理统计、随机过程）,必修
2016,A1110140,概率论与数理统计,"必修,选修"
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,必修
2016,A1110140,概率论与数理统计,选修
2016,A1110140,概率论与数理统计,必修
2016,A1110190,离散数学A,必修
2016,A1110190,离散数学A,必修
2016,A1110220,数学物理方法（含复变函数、数理方程、积分变换）,必修
2016,A1110220,数学物理方法（含复变函数、数理方程、积分变换）,必修
2016,A1110220,数学物理方法（含复变函数、数理方程、积分变换）,必修
2016,A1110230,复变函数,必修
2016,A1110230,复变函数,必修
2016,A1110230,复变函数,必修
2016,A1110230,复变函数,必修
2016,A1110230,复变函数,必修
2016,A1110230,复变函数,必修
2016,A1110230,复变函数,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110300,大学物理A（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110320,大学物理B（下）,必修
2016,A1110361,大学物理C（下）,必修
2016,A2110020,常微分方程,必修
2016,A2110020,常微分方程,必修
2016,A2110180,计算方法,必修
2016,A2110291,理论力学B,必修
2016,A2110470,数学分析A3,必修
2016,A2110470,数学分析A3,必修
2016,A2110520,数学物理方法（物理类）,必修
2016,A2110650,复变函数与特殊函数,必修
2016,A2110650,复变函数与特殊函数,必修
2016,A2110710,电磁学,必修
2016,A2110740,光学,必修
2016,A2110860,普通物理学B2,选修
2016,A2110860,普通物理学B2,选修
