序号,课程号,课程名称,学分,学时,开课学院,修读要求,是否
1,A1100020,思想道德修养与法律基础,3,20 | 0 | 1.0周 | 12,马克思主义学院,必修,
2,A1090010,大学体育1,1,32 | 0 | 0 | 0,体育学院,必修,
3,A1110030,线性代数A,3,48 | 0 | 0 | 0,理学院,必修,
4,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,必修,
5,A1050030,大学英语1,4,64 | 0 | 0 | 0,外国语学院,必修,
6,A1040040,C语言程序设计,3,32 | 16 | 0 | 0,计算机科学与技术学院,必修,
7,A2011270,程序设计训练,1.5,0 | 0 | 1.5周 | 0,通信与信息工程学院,必修,
8,A1050040,大学英语2,4,64 | 0 | 0 | 0,外国语学院,必修,
9,A2011340,数字媒体导论,2,32 | 0 | 0 | 0,通信与信息工程学院,必修,
10,A2121980,艺术设计概论1,1,16 | 0 | 0 | 0,传媒艺术学院,必修,
11,A2122010,造型基础,3,0 | 48 | 0 | 0,传媒艺术学院,必修,
12,A2010990,企业认知实习1,0.5,0 | 0 | 1.0周 | 0,通信与信息工程学院,必修,
13,A2030990,管理学A,3,48 | 0 | 0 | 0,经济管理学院,必修,
14,A2140010,金工实习B,1,0 | 0 | 1.0周 | 0,先进制造工程学院,必修,
15,A1110110,线性代数与解析几何,3,48 | 0 | 0 | 0,理学院,必修,
16,A1110090,工科数学分析（上）,5.5,88 | 0 | 0 | 0,理学院,必修,
17,A1040020,计算机科学导论,2,32 | 0 | 0 | 0,计算机科学与技术学院,必修,
18,A2140080,工程图学与计算机绘图A,3,32 | 16 | 0 | 0,先进制造工程学院,必修,
19,A1110090,工科数学分析（上）,5.5,88 | 0 | 0 | 0,理学院,选修,
20,A1110010,高等数学A(上),5.5,88 | 0 | 0 | 0,理学院,选修,
21,A1100030,马克思主义基本原理,3,32 | 0 | 0 | 16,马克思主义学院,必修,
22,A1110040,高等数学B(上),5,80 | 0 | 0 | 0,理学院,必修,
23,A1030010,大学计算机基础,1,16 | 0 | 0 | 0,经济管理学院,必修,
24,A1030020,计算机应用实践,1,0 | 16 | 0 | 0,经济管理学院,必修,
25,A2030350,C语言程序设计,4,48 | 16 | 0 | 0,经济管理学院,必修,
26,A2030270,政治经济学,2,32 | 0 | 0 | 0,经济管理学院,必修,
27,A2030180,中外经济思想史,2,32 | 0 | 0 | 0,经济管理学院,必修,
28,A2030990,管理学A,3,48 | 0 | 0 | 0,经济管理学院,选修,
29,A2070160,经济法B,2,32 | 0 | 0 | 0,网络空间安全与信息法学院,选修,
30,A2030430,工程概论,3,48 | 0 | 0 | 0,经济管理学院,必修,
31,A2030920,工商管理学科导论,1,16 | 0 | 0 | 0,经济管理学院,必修,
32,A2030190,经济学,4,64 | 0 | 0 | 0,经济管理学院,必修,
33,A200001B,认识实习,1,0 | 0 | 1.0周 | 0,经济管理学院,必修,
34,A2032410,电子商务与现代物流学科前沿,1,16 | 0 | 0 | 0,经济管理学院,必修,
35,A2032190,市场营销学E,3,32 | 16 | 0 | 0,经济管理学院,必修,
36,A2031040,会计学,3,48 | 0 | 0 | 0,经济管理学院,必修,
37,A2032090,面向现代企业制度的管理伦理,0.5,8 | 0 | 0 | 0,经济管理学院,必修,
38,A2032050,管理学E,3,32 | 16 | 0 | 0,经济管理学院,必修,
39,A2032060,会计学模拟实践,1,0 | 0 | 1.0周 | 0,经济管理学院,必修,
40,A2032160,微观经济学E,3,32 | 16 | 0 | 0,经济管理学院,必修,
41,A2032050,管理学E,3,32 | 16 | 0 | 0,经济管理学院,选修,
42,A2032300,创业案例分析,1,16 | 0 | 0 | 0,经济管理学院,必修,
43,A1040030,大学计算机应用实践,1,0 | 0 | 1.0周 | 0,计算机科学与技术学院,必修,
44,A2040190,C语言程序设计,4,48 | 16 | 0 | 0,计算机科学与技术学院,必修,
45,A1050110,英语国家社会与文化,2,32 | 0 | 0 | 0,外国语学院,必修,
46,A2050230,基础英语1,4,64 | 0 | 0 | 0,外国语学院,必修,
47,A2050630,英语听力1,2,0 | 32 | 0 | 0,外国语学院,必修,
48,A2050580,英语基础阅读,2,32 | 0 | 0 | 0,外国语学院,必修,
49,A2050720,英语语音实践,1,0 | 16 | 0 | 0,外国语学院,必修,
50,A2050600,英语口语1,2,0 | 32 | 0 | 0,外国语学院,必修,
51,A2050780,专业导论1,1,16 | 0 | 0 | 0,外国语学院,必修,
52,A2050760,中国文化概论,2,32 | 0 | 0 | 0,外国语学院,选修,
53,A2060720,医学化学,4,48 | 16 | 0 | 0,生物信息学院,必修,
54,A2060620,生物医学基础,4,48 | 16 | 0 | 0,生物信息学院,必修,
55,A2070040,法理学,4,64 | 0 | 0 | 0,网络空间安全与信息法学院,必修,
