No.,课程编号,课程名称
1,120012,课程设计(动画制作)
2,120077,课程设计(网页设计)
3,120079a,课程设计1(广告设计)
4,120098,采、编、播实习
5,120140,电视节目策划
6,120152,电视解说词写使/td>
7,120164,动画剧本创作
8,120179,传播孿/td>
9,120192,中国戏曲
10,120200,电视采访与写使/td>
11,120223,多媒体技朿/td>
12,120227,影视音频技朿/td>
13,120230a,影视动画创作(1)
14,120236,影像技朿/td>
15,120246,VI设计
16,120285,影像技朿/td>
17,120290,动画周边产品开叿/td>
18,120292,专业英语
19,120320,书籍装帧设计
20,120350,版式设计
21,120406,非线性编辿/td>
22,120443,设计心理孿/td>
23,120459,设计市场与管琿/td>
24,120472,环境心理孿/td>
25,120486,传媒美学
26,120489,影视广告设计
27,120498,住宅空间设计
28,120500,动画分镜设计
29,120519,电脑平面动画
30,120522,三维角色动画
31,120618,虚拟现实设计
32,120634,动画音乐与音敿/td>
33,120705,设计与哲孿/td>
34,120706,产品设计
35,120707,Premiere技朿/td>
36,120708,包装设计基础
37,120719,三维辅助设计2
38,120720,产品材料与工艿/td>
39,120721,工业设计叿/td>
40,120722,课程设计项目2
41,120730,软装饰与陈列设计
42,120734,西方哲学
43,120736,课程设计项目2（景观设计）
44,121103,影视美学
45,121105,手机文化
46,121119,多媒体技朿/td>
47,121131,现当代文学鉴赿/td>
48,121132,音乐赏析
49,121198,专业实习
50,121310,电脑音乐
51,121365,手机动漫制作
52,121401,商业与展示空间设访/td>
53,121412,绘画艺术鉴赏
54,121627,交互设计
55,121629,绘本与漫甿/td>
56,A1125010,古诗词鉴赿/td>
57,A1125020,中国传统文化与艺朿/td>
58,A1125030,音乐基础与欣赿/td>
59,A1125040,美术作品解读
60,A1125050,经典影视作品解读
61,A1125060,电影艺术与文化反怿/td>
62,A1125070,时尚设计与文化创愿/td>
63,A1125080,新媒体节目形态赏枿/td>
64,A1125090,影视广告技术与艺术分析
65,A1125100,雕塑制作与文化鉴赿/td>
66,A1125110,软陶DIY与艺术鉴赿/td>
67,A1125130,特效电影制作解密
68,A1125140,西方文化与动画艺朿/td>
69,A1125150,古典名著与电视剧改编
70,A1125160,生活创意与家居设访/td>
71,A1125170,经典动画技艺分枿/td>
72,A1125180,中国民间剪纸艺术
73,A1125190,大学生审美修兿/td>
74,A1125200,职场心理孿/td>
75,A1125210,Photoshop图形设计
76,A2120010,AutoCAD与Sketchup
77,A2120030,PHOTOSHOP辅助设计
78,A2120070,版式设计(视觉传达设计)
79,A2120130,测绘与制囿/td>
80,A2120170,产品设计3D建模与渲柿
81,A2120230,产品手绘技泿/td>
82,A2120260,程序语言基础
83,A2120350,电视艺术概论
84,A2120360,动画运动规律
85,A2120400,工业设计叿/td>
86,A2120500,基础写作
87,A2120560,角色与场景设访/td>
88,A2120680,三维软件基础1
89,A2120730,设计色彩1
90,A2120770,设计思维与表辿产品设计)
91,A2120780,设计思维与表辿环境设计)
92,A2120790,设计素描1
93,A2120840,视觉传达平面设计软件
94,A2120940,透视与手绘表玿/td>
95,A2121000,西方现代美术叿/td>
96,A2121060,艺术概论A
97,A2121061,艺术概论B
98,A2121070,音乐基础
99,A2121080,影视编辑技艺A
100,A2121081,影视编辑技艺B
101,A2121180,影视作品分析1
102,A2121200,影视作品分析3
103,A2121260,中外文学
104,A2121300,专业色彩1
105,A2121330,专业素描1
106,A2121360,字体设计
107,A2121380,构成
108,A2121390,构成1(艺术设计类专丿
109,A2121430,摄像技朿
110,A2121500,版式设计
111,A2121510,计算机艺术设计基础
112,A2121550,图形创意（视觉传达设计）
113,A2121560,摄影
114,A2121600,动画原理与设访/td>
115,A2121650,动画场景设计
116,A2121680,动画概论
117,A2121710,动画角色设计
118,A2121750,动画影片分析1
119,A2121830,三维动画基础1
120,A2121850,定格动画
121,A2121950,人机工程学（产品设计专业＿/td>
122,A2121980,艺术设计概论1
123,A2121990,艺术设计概论2
124,A2122010,造型基础
125,A2122030,故事写作
