No.,课程编号,课程名称
1,10127,非线性电子电跿/td>
2,01012a,非线性电子电跿/td>
3,10290,可编程逻辑器件设计
4,10293,微波工程
5,10387,嵌入式系统设访/td>
6,10436,片上系统设计导论（英＿/td>
7,11011,课程设计(电子综合设计)2
8,11109,电工电子2
9,20002,认识实习
10,20005,集中上机3
11,020215a,射频微波电路设计
12,20220,天线原理与设访/td>
13,20227,工程电磁圿/td>
14,20234,天线与电波传撿/td>
15,20237,微波电路CAD
16,20242,射频识别技朿/td>
17,20288,移动传播环境
18,20296,电磁工程仿真与设访/td>
19,20323,集成光学
20,02032a,激光技朿/td>
21,20330,光纤传感与检测技朿/td>
22,20341,课程设计(光电信息系统)
23,20347,课程设计(光学软件)
24,20350,激光原琿/td>
25,20355,多媒体信号后期处理技朿/td>
26,20370,信息光学
27,20371,光电子技术及应用
28,20381,光学原理
29,20387,光电成像原理与技朿/td>
30,20389,专业基础实验(专业主干课程)
31,20415,现代电子材料与元器件
32,20433,专业英语
33,20478,电子材料与元器件
34,20482,模拟电路应用及CAD技朿/td>
35,20495,半导体物琿/td>
36,20497,课程设计(半导体工艿
37,20514,微电子器仿/td>
38,20515,微电子器件实骿/td>
39,20516,半导体工艺基础
40,20517,CMOS射频IC设计
41,20518,微电子器件综合实骿/td>
42,20519,电子材料与元器件B
43,20523,电磁场与电磁波实骿/td>
44,20526,电磁系列基础实验
45,20533,电工电子3非线性电子与仿真
46,20540,无线传输专业方向实验2
47,20541,射频微波电路专业方向实验2
48,21310,光电显示技朿/td>
49,21313,光电系统设计
50,21316,光电成像原理与技朿/td>
51,21376,光通信器件及测釿/td>
52,21385,显示与照明技术专业实骿
53,21394,光信息技术专业实骿
54,21395,光电子技术专业实骿
55,21414,半导体光电子器件
56,21417,模拟集成电路设计原理
57,21480,前沿技术学术讲庿/td>
58,21508,工程能力培养课程
59,23116,计算机辅助光学测量技朿/td>
60,24001,毕业实习
61,A2020350,电路分析基础B
62,A2020351,电路分析基础D
63,A2020353,电路分析基础C
64,A2020360,电子电路基础A
65,A2020361,电子电路基础C
66,A2020390,数字与逻辑电路基础
67,A2020800,电路实验
68,A2020810,电子技术实验B
69,A2020940,微电子学科基础
70,A2021001,固体物理
71,A2021020,电路与模拟电子技术B
72,A2021021,电路与模拟电子技术A
73,A2021060,数字电路与逻辑设计实验A
74,A2021070,数字电路与逻辑设计
75,A2021110,电工学下
76,A2021200,模拟电子电路实验
77,A2021210,射频微波电路设计实验
78,A2021240,无线传感器及网络
79,A2021290,电磁学基础(美方授课)
80,A2021300,电路理论及应用I(美方授课)
81,A2021310,电路理论及应用实验I(美方授课)
82,A2021540,自动化技术基础(2)(模电数电)
83,A2021550,新生研讨诿/td>
