No.,课程编号,课程名称
1,30011,课程设计(一)
2,30012,课程设计(亿
3,30045,创业管理
4,30087,毕业实习
5,30125,生产与运作管琿/td>
6,30130,组织行为孿/td>
7,30137,合同管理
8,30149,人力资源管理
9,30160,专业英语(工商管理)
10,30203,成本会计
11,30205,管理会计
12,30212,财务管理
13,30221,资产评估
14,30226,财务与会计前沿专颿/td>
15,30230,财务会计
16,30249,专业英语(市场营销)
17,30250,项目投资可行性分枿/td>
18,030250A,项目投资可行性分枿/td>
19,30253,专业英语(会计)
20,30291,会计专业模拟实习
21,30298,团队管理与执行力
22,30323,管理系统仿真
23,30349,数据库技术与应用
24,30361,数据挖掘与分枿/td>
25,30368,信息管理孿/td>
26,30376,商务智能
27,30385,课程设计(项目投资可行性分枿
28,30386,证券模拟实践
29,30393,课程设计(现代立体仓储管理设计)
30,30407,管理经济孿/td>
31,30420,货币银行孿/td>
32,30438,信息经济孿/td>
33,30440,证券投资孿/td>
34,30444,计量经济孿/td>
35,30491,投资理财
36,30493,证券投资孿/td>
37,30512,市场营销孿/td>
38,30518,服务营销
39,30519,商务谈判
40,30521,网络营销
41,30529,服务营销
42,30531,市场调查与预浿/td>
43,30538,网络营销
44,03053a,网络营销
45,30543,消费者行为学
46,30545,通信市场营销
47,30553,客户关系管理
48,30571,现代快递业务管琿/td>
49,30605,土木工程概论
50,30607,通信组织与运营管琿/td>
51,30625,物流与供应链管理
52,30632,工程管理信息处理技能培访/td>
53,30633,手机应用程序开叿/td>
54,30634,信息专业英语
55,30635,网上支付与电子银衿/td>
56,30637,产品与定价管琿/td>
57,30638,课程设计(一)
58,30639,课程设计(亿
59,30640,税务会计与税务筹刿/td>
60,30641,会计专业技能实访/td>
61,30642,公司治理
62,30643,组织设计操作技能实访/td>
63,30655,物流综合运作实训
64,30656,现代物流信息技朿/td>
65,30666,web应用程序设计
66,30667,库存控制与仓储管琿/td>
67,30668,物流系统规划与设访/td>
68,30669,供应链管琿/td>
69,30670,ERP软件实训(供应链篇)
70,30671,ERP软件实训(财务篿
71,30700,税收孿/td>
72,30702,产业经济孿/td>
73,30715,商业银行经营管理
74,30717,网络金融热点问题
75,30751,信息产业前沿问题
76,30791,课程设计(计量经济孿
77,30792,专业课程实验(证券投资模拟)
78,31106,自动识别与现代卖场模拟实乿/td>
79,31120,工程结构
80,31127,工程招投标业务模拿/td>
81,31130,SP与运营商对抗模拟
82,31139,CP/SP创业与运营商对抗模拟
83,31183,工程项目管理综合技能培访/td>
84,31205,企业沙盘与ERP运作模拟
85,31207,专业课程实验(ERP与企业沙盿
86,31289,客户关系管理与经营分析实跿/td>
87,31356,电子商务师技能实访/td>
88,31376,商务智能实训
89,31380,信息系统分析技能师实训
90,A1030010,大学计算机基础
91,A1030020,计算机应用实跿/td>
92,A1030040,数据库系统应甿/td>
93,A1030050,计算机网络技朿/td>
94,A1030060,网页设计与制使/td>
95,A1030070,Excel管理数据分析
96,A1035010,企业文化与职业素兿/td>
97,A1035020,礼仪与社会交往
98,A1035030,电子商务创业与实房/td>
99,A1035040,网络与经浿/td>
100,A1035050,人生与理贿/td>
101,A200001B,认识实习
102,A200004B,企业调查
103,A2030050,公司金融
104,A2030080,宏观经济孿/td>
105,A2030180,中外经济思想叿/td>
106,A2030190,经济孿/td>
107,A2030200,经济学沙盘模拟实访/td>
108,A2030230,通信经济孿/td>
109,A2030260,证券投资孿/td>
110,A2030270,政治经济孿/td>
111,A2030310,微观经济学B
112,A2030340,BIM识图构造综合实访/td>
113,A2030350,C语言程序设计
114,A2030390,JAVA语言
115,A2030400,Web应用程序设计
116,A2030430,工程概论
117,A2030590,建筑结构
118,A2030640,数据结构
119,A2030650,数据库系统原理与技朿/td>
120,A2030800,财务会计
121,A2030840,创业管理
122,A2030920,工商管理学科导论
123,A2030990,管理学A
124,A2031030,会计票证技能实访/td>
125,A2031040,会计孿/td>
126,A2031320,消费者行为学
127,A2031330,消费者行为学实验
128,A2031440,组织行为孿/td>
129,A2031480,电子商务概论B
130,A2031550,基于JAVA的面向对象程序设访/td>
131,A2031570,生产与运作管琿/td>
132,A2031730,运筹孿/td>
133,A2031790,ICT企业模拟经营实训
134,A2032050,管理学E
135,A2032060,会计学模拟实跿/td>
136,A2032090,面向现代企业制度的管理伦琿/td>
137,A2032110,人力资源管理E
138,A2032160,微观经济学E
139,A2032170,消费者行为学E
140,A2032190,市场营销学E
141,A2032210,公司金融E
142,A2032300,创业案例分析
143,A2032330,创业融资
144,A2032410,电子商务与现代物流学科前沿/td>
145,A2032510,邮政管理导论
146,B30345,电子商务案例分析
147,W30102,营销科学研究导论
