No.,课程编号,课程名称
1,40003,毕业实习
2,040124a,面向对象程序设计
3,40148,软件工程
4,40161,数据库技术及应用
5,40210,微机原理与接口技朿/td>
6,40249,微机原理与接口技朿/td>
7,40280,基于Internet软件新技朿/td>
8,04028a,网络规划与设访/td>
9,40292,专业综合实验
10,40319,操作系统
11,04031a,软件工程
12,40327,软件项目管理
13,40341,多媒体技术与应用
14,40344,操作系统内核分析
15,40350,算法分析与设访/td>
16,04035a,算法分析与设访/td>
17,04035b,算法分析与设访/td>
18,40378,Web动态网页设访/td>
19,40386,面向对象的分析与建模
20,40560,计算机网络技朿/td>
21,40654,测量与地图学
22,40656,数字工程原理与方泿/td>
23,40708,嵌入式系统设访/td>
24,40748,人工智能原理
25,40798,智能终端应用实践
26,40812,移动计算与系绿/td>
27,40814,计算机组织与结构
28,40816,计算机组织与结构
29,40820,计算机组织与结构
30,40852,计算机新技朿/td>
31,40853,云计算与物联罿/td>
32,41103,课程设计(硬件综合)
33,41104,课程设计(软件工程)
34,41106,课程设计(网络编程)
35,41110,课程设计(操作系统)
36,41130,课程设计(网络工程综合)
37,41135,.NET程序设计
38,41170,Java程序设计及Eclipse案例开叿/td>
39,41261,空间定位技朿/td>
40,41300,应用软件开叿含毕业实乿
41,41301,WEB动态网页设访/td>
42,41308,计算机图形学
43,41309,多媒体技术基础
44,41331,智能应用系统设计
45,41755,智能科学新技朿/td>
46,41799,应用系统架构
47,41810,无线网络新技朿/td>
48,41902,数字化工程综合实跿/td>
49,41903,应用系统架构
50,41904,应用软件开叿含毕业实习、岗位实乿
51,41905,计算机辅助设访/td>
52,A1040010,大学计算机基础
53,A1040020,计算机科学导访/td>
54,A1040030,大学计算机应用实跿/td>
55,A1040040,C语言程序设计
56,A1040080,数据结构
57,A1040090,数据库技术及应用
58,A1040100,计算机网络技朿/td>
59,A1045020,云计算与大数捿/td>
60,A1045040,数据可视化技朿/td>
61,A200001C,认识实习
62,A2040070,空间分析与应用综合实跿/td>
63,A2040190,C语言程序设计
64,A2040290,计算机图形学A
65,A2040360,面向对象程序设计-C++
66,A2040470,数据结构
67,A2040480,数据结构与算法A
68,A2040580,信号处理基础
