No.,课程编号,课程名称
1,20119,量子力学
2,20125,课程设计(小型软件系统)
3,20126,课程设计(小型信号显示系统)
4,20217,量子信息技术基础
5,21116,显示器件与技术实骿/td>
6,40417,概率与数理统访/td>
7,40425,离散数学
8,40444,数学方法
9,40511,运筹与优匿/td>
10,40522,组合数学
11,40530,信息与编码理访/td>
12,40531,泛函分析
13,40614,数学建模
14,40621,实变函数与泛函分枿丿
15,40640,泛函分析
16,40791,数据挖掘方法与应甿/td>
17,41113,课程设计(数学建模与数学实骿
18,110002,认识实习*
19,110112,理论力学
20,110113,电动力学
21,110117,显示器件驱动技朿/td>
22,110203,大学物理实验（下＿/td>
23,110535,光信息材料及应用
24,110550,数据采集与计箿/td>
25,110607,数学物理方程
26,110631,非参数统计分枿/td>
27,110632,试验设计与分枿/td>
28,110635,多元统计分析
29,110636,决策理论与方泿/td>
30,A1110010,高等数学A(丿
31,A1110030,线性代数A
32,A1110040,高等数学B(丿
33,A1110090,工科数学分析（上＿/td>
34,A1110110,线性代数与解析几何
35,A1110120,应用高等数学
36,A1110130,随机数学（含概率论、数理统计、随机过程）
37,A1110140,概率论与数理统计
38,A1110190,离散数学A
39,A1110220,数学物理方法（含复变函数、数理方程、积分变换）
40,A1110230,复变函数
41,A1110300,大学物理A（下＿/td>
42,A1110320,大学物理B（下＿/td>
43,A1110341,大学物理实验B（下＿/td>
44,A1110352,工程数学基础(1)
45,A1110361,大学物理C（下＿/td>
46,A1115010,宇宙的奥秿/td>
47,A1115030,博弈访/td>
48,A1115040,应用统计孿/td>
49,A2110020,常微分方稿/td>
50,A2110130,高等代数（上＿/td>
51,A2110180,计算方法
52,A2110190,课程设计（计算方法）
53,A2110210,解析几何
54,A2110291,理论力学B
55,A2110420,数据采集与计箿/td>
56,A2110450,数学分析A1
57,A2110470,数学分析A3
58,A2110520,数学物理方法（物理类＿/td>
59,A2110650,复变函数与特殊函敿/td>
60,A2110680,大学物理实验A(丿
61,A2110710,电磁孿/td>
62,A2110740,光学
63,A2110750,基础物理实验
64,A2110860,普通物理学B2
65,A2110890,普通物理实验B1
66,W11002,Semiconductor and Its Techniq Applics
