No.,课程编号,课程名称
1,130103,操作系统
2,130106,软件工程
3,130155,通信软件设计与开叿/td>
4,130197,微机原理与接口技朿/td>
5,130220,软件测试方法与技术基础
6,130221,软件测试平台
7,130319,软件工程课程实训
8,130323,多媒体技术导访英语)
9,130338,数字媒体技术基础
10,130339,数字媒体设计与开叿/td>
11,131121,通信软件基础
12,131501,软件开发综合实访/td>
13,A1135010,计算思维之方法学
14,A200001E,认识实习
15,A2130010,编程基础＿）面向过稿/td>
16,A2130180,软件工程导论
17,A2130200,数据与算法基础 (1) (数据结构)
18,A2130210,数据与算法基础 (2) (数据庿
19,A2130370,课程设计(面向对象程序设计＿/td>
20,A2130580,计算机应用能力开放实骿/td>
21,A2130590,软件测试与维抿/td>
22,A2130660,离散结构
23,A2130670,数据结构
24,A2130700,专业综合英语 1
25,A2130720,程序设计基础
