No.,课程编号,课程名称
1,60200,脑与认知科学
2,60206,生物医学传感器及应用
3,60232,专业英语
4,60256,现代信号处理在医学中的应甿/td>
5,60265,认知科学概论
6,60279,有源医疗器械检测技朿/td>
7,60283,医学信号分析和处琿/td>
8,60284,嵌入式系统在医学仪器中的应用(丿
9,60294,课程设计(医学信息)
10,60311,细胞生物孿/td>
11,60312,遗传孿/td>
12,60317,分子生物孿/td>
13,60352,生物数据库技术及应用
14,60395,系统生物学导访/td>
15,60592,制药工程实验
16,60593,毕业实习
17,60620,数据结构与算泿/td>
18,60629,课程设计(生物信息)
19,60636,生物信息学算泿/td>
20,60639,计算机网络技术及其在生物信息学中的应用实骿/td>
21,60900,细胞生物学实骿/td>
22,60906,生物数据库技术及应用实验
23,60907,计算机网络技术及其在生物信息学中的应甿/td>
24,60908,遗传学实骿/td>
25,60909,生物信息学算法实骿/td>
26,60910,数据结构与算法实骿/td>
27,61363,分子生物学实骿/td>
28,62005,毕业实习
29,A1065010,现代生命科学导论
30,A1065020,化学与现代生洿/td>
31,A1065040,科学技术史
32,A1065050,人体与健康生活方弿/td>
33,A1065060,食品安全与人类健庿/td>
34,A1065070,饮食与养甿/td>
35,A1065080,环境与生态文昿/td>
36,A2060270,运动生理孿/td>
37,A2060620,生物医学基础
38,A2060720,医学化学
