No.,课程编号,课程名称
1,90095,毕业实习
2,90113,体育(俱乐郿
3,90203,体育经营管理理论与实势/td>
4,91109,教育孿/td>
5,91208,体育叿/td>
6,91233,羽毛球理论与实践2
7,91235,羽毛球理论与实践4
8,92104,田径
9,92123,篮球理论与实跿
10,92124,小球理论与实跿
11,92129,武术理论与实跿
12,92155,健身健美/舞蹈理论与实跿
13,92203,足球
14,92237,篮球理论与实跿
15,92238,武术理论与实跿
16,92239,小球理论与实跿
17,92253,健身健美/舞蹈理论与实跿
18,93010,裁判实习
19,93019,运动训练方案设计
20,93021,体育经营管理方案策划
21,93025,运动素质测试
22,93052,企业调查
23,A1090010,大学体育1
24,A200001D,认识实习
25,A2090020,健美擿/td>
26,A2090100,篮球
27,A2090160,乒乓琿/td>
28,A2090260,社会体育导论
29,A2090280,体育测量与评仿/td>
30,A2090290,体育基本理论与体育管琿/td>
31,A2090340,体育竞赛组织与管琿/td>
32,A2090430,网球
33,A2090470,武术
34,A2090560,游泳与救甿
35,A2090650,足球
