No.,课程编号,课程名称
1,10006,毕业设计
2,10044,国际化企业实乿/td>
3,10070,通信工程规划设计实训
4,10072,电信交换综合实训
5,10073,数据网络综合实训
6,10075,传输工程综合实训
7,10076,宽带接入网综合实访/td>
8,10078,移动通信综合实训
9,10085,综合项目设计
10,10086,企业工程实习
11,10087,IT项目组织与管琿/td>
12,10089,工程规划与设计实乿/td>
13,10099,综合科研训练(含毕业设访
14,10111,信号与系绿/td>
15,10112,信号与系绿/td>
16,10114,信号与系绿/td>
17,10161,电子系统综合设计与仿眿/td>
18,010201a,通信原理
19,10212,数字信号处理
20,10223,现代通信技朿/td>
21,10241,DSP原理与应甿/td>
22,10294,电子系统综合设计实训3
23,10444,综合项目设计
24,10447,行业工程标准与规茿/td>
25,10451,移动通信技朿/td>
26,10478,广播电视工程综合实训
27,10491,无线网络规划与优化综合实访/td>
28,10500,专业实训
29,10614,信号检测与估计
30,10619,信息化工具应甿/td>
31,10621,通信软件开发应用实访
32,10625,通信原理
33,10626,信息传输与工稿/td>
34,10628,信息化工具与技胿/td>
35,10629,通信软件设计
36,10631,电子系统设计实训2
37,10632,专业竞赛
38,10635,现代通信网概访/td>
39,10716,无线自组织网络技朿/td>
40,11103,信号与系统实骿/td>
41,11810,现代通信概论
42,20609,信息网络技朿/td>
43,A1015010,通信技术概访/td>
44,A1015020,现代通信技朿/td>
45,A2010040,大数据技术及应用
46,A2010070,电信传输理论与工稿/td>
47,A2010100,电子系统综合设计实训(1)
48,A2010240,数字图像处理A
49,A2010320,射频通信电路
50,A2010340,通信原理A
51,A2010344,通信原理D
52,A2010351,通信原理C
53,A2010431,微波与卫星通信A
54,A2010451,微处理器系统结构与嵌入式系统设计(1)
55,A2010481,无线通信电波传播
56,A2010540,现代通信网络B
57,A2010550,信号处理实验
58,A2010560,信号与系统B
59,A2010561,信号与系统D
60,A2010563,信号与系统A
61,A2010570,信息论基础
62,A2010610,移动通信B
63,A2010640,语音信号处理
64,A2010660,数据网络综合实训
65,A2010750,数字信号处理B
66,A2010770,通信软件基础B
67,A2010800,通信软件开发与应用(2)
68,A2010830,信息系统分析与设访/td>
69,A2010860,通信网络理论
70,A2010910,三维动画脚本开叿/td>
71,A2011000,企业认知实习2
72,A2011110,高级网络协议与技朿/td>
73,A2011120,网络视频技朿/td>
74,A2011130,创新创业拓展训练(1)
75,A2011190,工程项目管理与实势/td>
76,A2011200,工程英语
77,A2011210,计算机工程基础(美方授课)
78,A2011220,微处理器(美方授课)
79,A2011260,专业实训
80,A2011270,程序设计训练
81,A2011280,现代通信网技朿/td>
82,A2011340,数字媒体导论
83,A2011380,数据网络综合实训B
84,A2011390,微波与卫星通信B
85,A2011440,数字电视系统
86,A2011480,工程伦理
87,W01001,通信前沿技朿/td>
88,W01003,软件定义无线网络
