No.,课程编号,课程名称
1,50002,企业调查
2,50032,课程设计(英语新闻采编2)
3,50055,商务英语翻译
4,50061,认识实习
5,50064,课程设计(英语人文知识项目设计)
6,50066,课程设计(英汉互译)
7,50086,商务英语口语与写作实跿/td>
8,50087,商务英语口语与写使/td>
9,50091,英语口笔译基础
10,50092,商务英语交际
11,50094,学术英语翻译与写使/td>
12,50121,日语1
13,50123,日语3
14,50125,法语1
15,50127,法语3
16,50218,高级英语1
17,50231,跨文化交陿/td>
18,50234,高级口语
19,50241,信息科技英语
20,50249,英语应用文写使/td>
21,50277,翻译理论与实跿/td>
22,50289,美国文学选读
23,50293,德语1
24,50536,汉英笔译
25,50538,口译3(交替传译)
26,50558,应用技术写使苿
27,50567,语言与社伿/td>
28,50568,课程设计(阅读与交浿
29,50587,外刊阅读
30,50588,外刊阅读实践
31,50589,高级视听诿
32,50591,口译1(技能训练入闿
33,50592,课程设计(网络英语翻译)
34,50595,英语应用文写使/td>
35,50596,英语应用文写作实跿/td>
36,50600,英语表达与交浿/td>
37,50905,课程设计（技术文档翻译）
38,50906,课程设计（社会翻译调查）
39,51200,日语阅读1
40,51215,论文写作
41,51217,德语1
42,51221,商务英语
43,51227,德语3
44,51230,高级视听诿
45,51236,日语3
46,51259,西方文学思潮与作哿/td>
47,51260,西方礼仪文化
48,51261,语言幽默艺术
49,51284,日语高级口语
50,51285,实用英语
51,51298,高级视听诿实践
52,52225,英汉口译
53,A1050010,大学英语(1)
54,A1050030,大学英语1
55,A1050040,大学英语2
56,A1050060,综合英语
57,A1050080,高级口语
58,A1050090,影视英语与文匿/td>
59,A1050110,英语国家社会与文匿/td>
60,A1050140,商务交际英语
61,A1055010,西方经典文学著作选读
62,A1055020,韩语语言文化入门
63,A2050020,《圣经》与文化
64,A2050040,德语1
65,A2050100,法语1
66,A2050230,基础英语1
67,A2050320,跨文化交陿/td>
68,A2050360,日语1
69,A2050460,新闻英语听力
70,A2050530,英语表演
71,A2050570,英语基础写作2
72,A2050580,英语基础阅读
73,A2050600,英语口语1
74,A2050630,英语听力1
75,A2050680,英语小说阅读
76,A2050690,英语演讲与辩访/td>
77,A2050720,英语语音实践
78,A2050750,语言学导访/td>
79,A2050760,中国文化概论
80,A2050780,专业导论1
81,A2050850,日语精读1
82,A2050870,日语精读3
83,A2050890,日语视听诿
84,A2050910,日语视听诿
85,A2050970,英语视听诿
86,A2050990,英语视听诿
87,A2051030,英语写作2
88,A2051040,英语语音与朗诿/td>
89,A2051050,英语阅读1
90,A2051070,英语中级新闻听力1
91,A2051090,综合英语1
92,A2051110,综合英语3
