No.,课程编号,课程名称
1,40229,汇编语言程序设计
2,40722,网络安全
3,40740,计算机取证技朿/td>
4,40741,信息论与编码技朿/td>
5,40746,网络安全
6,40747,应用密码孿/td>
7,41129,课程设计(信息安全综合实验)
8,70012,劳动与社会保障法
9,70016,模拟审判（二＿/td>
10,70038,知识产权基础
11,70099,企业调查
12,70300,法律专业英语2
13,70308,民法(丿
14,70310,经济泿/td>
15,70311,经济泿/td>
16,70315,民事诉讼泿/td>
17,70316,合同泿/td>
18,70317,知识产权泿/td>
19,70320,商法
20,70323,中国法制叿/td>
21,70331,环境与资源保护法
22,70334,证据法学
23,70344,国际泿/td>
24,70355,网络侵权泿/td>
25,70373,反不正当竞争泿/td>
26,70407,电子证据孿/td>
27,70408,法律实务
28,70409,电子商务泿/td>
29,70410,信息法学前沿问题（微型课程）
30,70411,知识产权侵权与法律救浿/td>
31,70412,法律实践技能训绿/td>
32,70414,知识产权专业英语1
33,70415,知识产权侵权与法律救浿/td>
34,70416,知识产权文献检紿/td>
35,70420,经济法概访/td>
36,70421,知识产权案件模拟审判（二＿/td>
37,70501,电子证据孿/td>
38,71304,国际经济泿/td>
39,71379,知识产权管理
40,A1075130,电子证据
41,A1075140,知识产权基础
42,A1075150,诉讼证据的认识与运用
43,A1075170,网络犯罪解密
44,A1075190,智能手机取证
45,A1075200,黑客产业链之社会工程孿/td>
46,A2070040,法理孿/td>
47,A2070090,法学前沿问题（微型课程）
48,A2070130,合同泿/td>
49,A2070160,经济法B
50,A2070200,民事诉讼泿/td>
51,A2070280,物权泿/td>
52,A2070291,宪法
53,A2070310,刑法（分论）B
54,A2070311,刑法（分论）A
55,A2070330,刑事诉讼泿/td>
56,A2070390,知识产权法总论
57,A2070490,中国法制叿/td>
