No.,课程编号,课程名称
1,80200,过程控制系统设计
2,80202,现代控制理论
3,80245,电力电子技朿/td>
4,80262,集中上机2
5,80264,课程设计(自动控制原理)
6,80267,毕业实习
7,80286,计算机控制技朿/td>
8,80289,单片机原理及应用(含微机原琿
9,80292,高级软件设计
10,80293,课程设计(自动化综吿
11,80296,课程设计(综合自动化系统设访
12,80297,自动化网络技朿/td>
13,80298,系统仿真
14,80320,误差理论与数据处琿/td>
15,80324,电子测量技术及仪器
16,80341,计算机网络及其在控制领域中的应用
17,80344,测控电路
18,80368,课程设计(测控系统综合)
19,80370,毕业实习
20,80375,课程设计(检测理论及其应甿
21,80381,计算机网络及其在控制领域中的应用
22,80382,测控总线与通信技朿/td>
23,80386,检测技术与计算机控制系绿2)
24,80403,电力系统分析
25,80404,电力电子技朿/td>
26,80405,电气测控与仪衿/td>
27,80433,电机孿/td>
28,80438,自动化与电气工程类基础实验
29,80440,测试信号分析与处琿/td>
30,80441,电力系统自动匿/td>
31,80442,配电综合自动匿/td>
32,80444,低压电器及其控制技术（含可编程控制技术）
33,80445,课程设计(自动控制系统设计)
34,80451,电机与拖动基础
35,80452,课程设计(电气工程综合)
36,80453,毕业实习
37,80455,课程设计(电力电子技朿
38,80457,汽车电子与嵌入式系统方向
39,80461,检测技术与传感器方吿/td>
40,80472,智能电网进展
41,80484,智能电网信息工程综合实验(1)
42,80485,智能电网信息工程综合实验(2)
43,80490,电力电子电气传动与可编程控制技朿1)
44,80500,综合课程设计(物联网系统设访
45,80501,物联网技术导访/td>
46,80504,物联网安全技朿/td>
47,80506,毕业实习
48,80508,物联网通信技术基础
49,80520,无线传感器网绿/td>
50,80521,物联网智能信息处琿/td>
51,80583,物联网综合实骿1)
52,80584,物联网综合实骿2)
53,80591,课程设计(物联网节点设访
54,80601,微控制器与嵌入式系统(2)
55,81115,自动化与电气工程类工程实训实骿/td>
56,81202,控制基础实验
57,81205,控制综合实验(1)
58,81206,控制综合实验(2)
59,81215,测控综合实验(1)
60,81216,测控综合实验(2)
61,81225,电气工程综合实验(1)
62,81226,电气工程综合实验(2)
63,81304,自动化工程实训实骿/td>
64,81316,自动化工程实访/td>
65,81452,课程设计(智能电网信息工程综合)
66,500001,电装实习
67,A1085010,物联网导访/td>
68,A2011470,控制理论及控制系统仿真设计B
69,A2080010,电装实习
70,A2080011,工程技术基础(3)(电装实习)
71,A2080580,软件技术基础
72,A2081090,控制系统开发技朿1)（工程软件基础＿/td>
73,A2081100,自动化专题讲庿1)
74,A2081110,控制系统理论与方泿1)(自动控制原理)
75,A2081180,自动化专题讲庿3)
76,A2081370,控制系统开发技朿2)(数据结构)
