1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
3,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
4,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005A,毕业实习,2,0 | 0 | 2.0周 | 0,通信与信息工程学院,必修
2,A200006A,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,通信与信息工程学院,必修
1,A200005B,毕业实习,3,0 | 0 | 3.0周 | 0,光电工程学院,必修
2,A200006B,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,光电工程学院,必修
1,A200006B,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,光电工程学院,必修
1,A200006B,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,光电工程学院,必修
1,A200006B,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,光电工程学院,必修
1,A200006B,毕业设计（论文）,10,0 | 0 | 10.0周 | 0,光电工程学院,必修
1,A200006E,毕业设计（论文）,12,0 | 0 | 12.0周 | 0,经济管理学院,必修
1,A200005C,毕业实习,4,0 | 0 | 4.0周 | 0,经济管理学院,必修
2,A200006E,毕业设计（论文）,12,0 | 0 | 12.0周 | 0,经济管理学院,必修
