,开课单位,分数1,分数2,分数3,分数4,分数5,,,,开课单位,分数1,分数2,分数3,分数4,分数5
0,通信与信息工程学院,85,70,87.5,40,70.625,,,,通信与信息工程学院,85 ,70 ,88 ,40 ,71 
1,光电工程学院/国际半导体学院,90,80,87.5,70,81.875,,,,光电工程学院/国际半导体学院,90 ,80 ,88 ,70 ,82 
2,经济管理学院,100,100,80,80,90,,,,经济管理学院,100 ,100 ,80 ,80 ,90 
3,计算机科学与技术学院,96.66666667,100,93.33333333,80,92.5,,,,计算机科学与技术学院,97 ,100 ,93 ,80 ,93 
4,外国语学院,90,100,100,66.66666667,89.16666667,,,,外国语学院,90 ,100 ,100 ,67 ,89 
5,生物信息学院,90,90,82.5,50,78.125,,,,生物信息学院,90 ,90 ,83 ,50 ,78 
6,网络空间安全与信息法学院,80,73.33333333,81.66666667,90,81.25,,,,网络空间安全与信息法学院,80 ,73 ,82 ,90 ,81 
7,自动化学院,95,90,100,100,96.25,,,,自动化学院,95 ,90 ,100 ,100 ,96 
8,体育学院,100,100,95,100,98.75,,,,体育学院,100 ,100 ,95 ,100 ,99 
9,马克思主义学院,80,90,95,100,91.25,,,,马克思主义学院,80 ,90 ,95 ,100 ,91 
10,理学院,95,95,100,90,95,,,,理学院,95 ,95 ,100 ,90 ,95 
11,传媒艺术学院,95,95,90,70,87.5,,,,传媒艺术学院,95 ,95 ,90 ,70 ,88 
12,软件工程学院,100,100,100,100,100,,,,软件工程学院,100 ,100 ,100 ,100 ,100 
13,先进制造工程学院,100,100,100,100,100,,,,先进制造工程学院,100 ,100 ,100 ,100 ,100 
14,国际学院,90,100,100,80,92.5,,,,国际学院,90 ,100 ,100 ,80 ,93 
15,创新创业教育学院,80,80,100,100,90,,,,创新创业教育学院,80 ,80 ,100 ,100 ,90 
